date_mesure,geocode_region,libelle_region,carburant,valeur
2020-01-01T00:00:00.000,52,Pays de la Loire,Electrique et hydrogène,5879.0
2021-01-01T00:00:00.000,06,Mayotte,Gaz et ND,6.0
2023-01-01T00:00:00.000,32,Hauts-de-France,Diesel - thermique,21857.0
2019-01-01T00:00:00.000,76,Occitanie,Gaz et ND,152.0
2022-01-01T00:00:00.000,53,Bretagne,Essence - thermique,23357.0
2024-01-01T00:00:00.000,24,Centre-Val de Loire,Essence - thermique,14845.0
2019-01-01T00:00:00.000,06,Mayotte,Essence - hybride NR,1.0
2021-01-01T00:00:00.000,44,Grand Est,Essence - hybride NR,18317.0
2022-01-01T00:00:00.000,44,Grand Est,Diesel - thermique,18138.0
2020-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Hybride rechargeable,2803.0
2024-01-01T00:00:00.000,24,Centre-Val de Loire,Diesel - thermique,4546.0
2023-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Diesel - hybride NR,2659.0
2020-01-01T00:00:00.000,32,Hauts-de-France,Diesel - hybride NR,4000.0
2024-01-01T00:00:00.000,52,Pays de la Loire,Diesel - hybride NR,785.0
2019-01-01T00:00:00.000,02,Martinique,Electrique et hydrogène,95.0
2023-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Electrique et hydrogène,28906.0
2021-01-01T00:00:00.000,52,Pays de la Loire,Hybride rechargeable,5480.0
2020-01-01T00:00:00.000,02,Martinique,Diesel - hybride NR,91.0
2022-01-01T00:00:00.000,06,Mayotte,Gaz et ND,1.0
2024-01-01T00:00:00.000,53,Bretagne,Electrique et hydrogène,13624.0
2024-01-01T00:00:00.000,24,Centre-Val de Loire,Electrique et hydrogène,9401.0
2022-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Essence - hybride NR,29410.0
2021-01-01T00:00:00.000,44,Grand Est,Hybride rechargeable,10090.0
2020-01-01T00:00:00.000,04,La Réunion,Gaz et ND,24.0
2020-01-01T00:00:00.000,53,Bretagne,Diesel - hybride NR,760.0
2023-01-01T00:00:00.000,94,Corse,Diesel - hybride NR,160.0
2022-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Hybride rechargeable,10667.0
2019-01-01T00:00:00.000,04,La Réunion,Gaz et ND,0.0
2021-01-01T00:00:00.000,32,Hauts-de-France,Essence - thermique,91102.0
2023-01-01T00:00:00.000,76,Occitanie,Electrique et hydrogène,28108.0
2024-01-01T00:00:00.000,04,La Réunion,Diesel - hybride NR,163.0
2020-01-01T00:00:00.000,01,Guadeloupe,Electrique et hydrogène,288.0
2021-01-01T00:00:00.000,24,Centre-Val de Loire,Diesel - hybride NR,1266.0
2022-01-01T00:00:00.000,01,Guadeloupe,Hybride rechargeable,430.0
2023-01-01T00:00:00.000,94,Corse,Hybride rechargeable,2208.0
2023-01-01T00:00:00.000,01,Guadeloupe,Diesel - thermique,1298.0
2023-01-01T00:00:00.000,02,Martinique,Essence - thermique,10112.0
2019-01-01T00:00:00.000,03,Guyane,Gaz et ND,0.0
2024-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Essence - thermique,44990.0
2024-01-01T00:00:00.000,11,Île-de-France,Essence - hybride NR,137335.0
2023-01-01T00:00:00.000,06,Mayotte,Diesel - thermique,206.0
2022-01-01T00:00:00.000,76,Occitanie,Hybride rechargeable,9510.0
2020-01-01T00:00:00.000,94,Corse,Essence - hybride NR,891.0
2019-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Electrique et hydrogène,1262.0
2020-01-01T00:00:00.000,03,Guyane,Diesel - thermique,1566.0
2024-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Essence - hybride NR,50395.0
2022-01-01T00:00:00.000,76,Occitanie,Diesel - thermique,18690.0
2023-01-01T00:00:00.000,03,Guyane,Gaz et ND,3.0
2022-01-01T00:00:00.000,03,Guyane,Electrique et hydrogène,91.0
2022-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Gaz et ND,4754.0
2022-01-01T00:00:00.000,52,Pays de la Loire,Electrique et hydrogène,10673.0
2021-01-01T00:00:00.000,53,Bretagne,Electrique et hydrogène,7541.0
2020-01-01T00:00:00.000,04,La Réunion,Electrique et hydrogène,1047.0
2022-01-01T00:00:00.000,24,Centre-Val de Loire,Electrique et hydrogène,6692.0
2024-01-01T00:00:00.000,06,Mayotte,Diesel - thermique,237.0
2020-01-01T00:00:00.000,24,Centre-Val de Loire,Electrique et hydrogène,3799.0
2023-01-01T00:00:00.000,32,Hauts-de-France,Hybride rechargeable,15271.0
2021-01-01T00:00:00.000,06,Mayotte,Essence - hybride NR,506.0
2019-01-01T00:00:00.000,06,Mayotte,Hybride rechargeable,0.0
2023-01-01T00:00:00.000,53,Bretagne,Diesel - thermique,8493.0
2023-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Hybride rechargeable,4923.0
2020-01-01T00:00:00.000,32,Hauts-de-France,Essence - hybride NR,16173.0
2024-01-01T00:00:00.000,28,Normandie,Diesel - hybride NR,714.0
2024-01-01T00:00:00.000,44,Grand Est,Diesel - thermique,9528.0
2019-01-01T00:00:00.000,06,Mayotte,Diesel - thermique,641.0
2022-01-01T00:00:00.000,06,Mayotte,Electrique et hydrogène,67.0
2020-01-01T00:00:00.000,06,Mayotte,Essence - hybride NR,113.0
2021-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Gaz et ND,4541.0
2020-01-01T00:00:00.000,32,Hauts-de-France,Electrique et hydrogène,9014.0
2020-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Gaz et ND,2090.0
2020-01-01T00:00:00.000,94,Corse,Diesel - thermique,5602.0
2023-01-01T00:00:00.000,44,Grand Est,Diesel - hybride NR,1792.0
2021-01-01T00:00:00.000,01,Guadeloupe,Hybride rechargeable,373.0
2022-01-01T00:00:00.000,44,Grand Est,Gaz et ND,3563.0
2022-01-01T00:00:00.000,32,Hauts-de-France,Gaz et ND,7539.0
2021-01-01T00:00:00.000,03,Guyane,Gaz et ND,1.0
2020-01-01T00:00:00.000,52,Pays de la Loire,Essence - hybride NR,7480.0
2024-01-01T00:00:00.000,02,Martinique,Hybride rechargeable,440.0
2021-01-01T00:00:00.000,28,Normandie,Gaz et ND,2147.0
2022-01-01T00:00:00.000,03,Guyane,Diesel - hybride NR,80.0
2022-01-01T00:00:00.000,02,Martinique,Gaz et ND,0.0
2021-01-01T00:00:00.000,28,Normandie,Diesel - thermique,20898.0
2021-01-01T00:00:00.000,52,Pays de la Loire,Essence - thermique,31027.0
2022-01-01T00:00:00.000,04,La Réunion,Electrique et hydrogène,2808.0
2023-01-01T00:00:00.000,76,Occitanie,Diesel - hybride NR,1596.0
